Timeframe,pontos,zig_zag_percent,merge_percent,rate_tp,N_trades,Taxa_acerto,Pontos_total,Retorno
1,0.0003,0.1,0.1,1,312,48.717948717948715,-0.018000000000000002,-0.33981059596998986
1,0.0005,0.1,0.1,1,310,52.903225806451616,-0.006499999999999992,0.6696950489999502
1,0.0007,0.1,0.1,1,305,52.78688524590164,-0.0033500000000000075,0.9170391309799701
1,0.0003,0.1,0.1,2,309,33.65695792880259,-0.014549999999999995,-0.10891548497998715
1,0.0005,0.1,0.1,2,301,38.53820598006645,0.00845000000000002,1.9082786993598044
1,0.0007,0.1,0.1,2,277,35.74007220216607,0.0001500000000000251,0.9360799653319419
1,0.0003,0.2,0.1,1,249,48.59437751004016,-0.014549999999999999,-0.2288710324601382
1,0.0005,0.2,0.1,1,249,49.39759036144578,-0.013950000000000023,-0.17515176749010383
1,0.0007,0.2,0.1,1,247,53.441295546558706,-0.00045000000000000595,1.3445753840597718
1,0.0003,0.2,0.1,2,249,36.144578313253014,-0.006150000000000001,0.5478213939298392
1,0.0005,0.2,0.1,2,245,36.3265306122449,-0.0012499999999999907,0.8544458846997918
1,0.0007,0.2,0.1,2,231,35.4978354978355,-0.001049999999999992,1.265345400051385
1,0.0003,0.3,0.1,1,194,50.0,-0.0097,-0.055357005780071016
1,0.0005,0.3,0.1,1,194,52.57731958762887,-0.004699999999999982,0.36095958112984894
1,0.0007,0.3,0.1,1,195,53.84615384615385,0.0007499999999999955,1.0445796401398926
1,0.0003,0.3,0.1,2,194,37.628865979381445,-0.0022000000000000006,0.6406784026498348
1,0.0005,0.3,0.1,2,191,36.64921465968586,-5.0000000000013575e-05,0.5378117703800798
1,0.0007,0.3,0.1,2,184,33.15217391304348,-0.009899999999999992,-0.01870357326889038
1,0.0003,0.1,0.2,1,240,47.083333333333336,-0.016199999999999996,-0.40459140935991705
1,0.0005,0.1,0.2,1,238,47.47899159663865,-0.01790000000000002,-0.5815473062098622
1,0.0007,0.1,0.2,1,233,48.927038626609445,-0.015150000000000004,-0.2887068872199207
1,0.0003,0.1,0.2,2,237,29.535864978902953,-0.019950000000000002,-0.7912371751299798
1,0.0005,0.1,0.2,2,231,32.900432900432904,-0.013049999999999989,-0.25008897830991444
1,0.0007,0.1,0.2,2,218,32.56880733944954,-0.014400000000000003,-0.36099990374843777
1,0.0003,0.2,0.2,1,177,43.50282485875706,-0.01575000000000001,-0.6309483972599805
1,0.0005,0.2,0.2,1,177,42.93785310734463,-0.02135000000000002,-1.156452956929803
1,0.0007,0.2,0.2,1,175,45.14285714285714,-0.020650000000000023,-0.9736777711098343
1,0.0003,0.2,0.2,2,177,29.943502824858758,-0.014250000000000002,-0.5017739402099997
1,0.0005,0.2,0.2,2,173,27.74566473988439,-0.023150000000000004,-1.3370034584798067
1,0.0007,0.2,0.2,2,166,28.915662650602407,-0.0237,-1.2896094114287942
1,0.0003,0.3,0.2,1,157,45.85987261146497,-0.011749999999999995,-0.39797118093988293
1,0.0005,0.3,0.2,1,157,47.13375796178344,-0.012350000000000005,-0.510154765349999
1,0.0007,0.3,0.2,1,158,53.16455696202531,-0.0009000000000000223,0.6736693535700142
1,0.0003,0.3,0.2,2,157,35.03184713375796,-0.005450000000000005,0.18477113219004868
1,0.0005,0.3,0.2,2,155,36.12903225806451,-0.001250000000000008,0.387168113590002
1,0.0007,0.3,0.2,2,150,36.0,0.0009000000000000041,0.627061640631035
