,ativo,var_bb,rate_tp,rate_stop,pontos,qtd_operacoes,taxa_acerto,pontos_bruto,pontos_liquido
0,wdo_5,2,1.5,1,2,579,0.5492227979274611,432.0,142.5
0,wdo_5,2,2.0,1,2,579,0.44041450777202074,372.0,82.5
0,wdo_5,2,2.5,1,2,579,0.3747841105354059,361.0,71.5
0,wdo_5,2,3.0,1,2,579,0.3229706390328152,338.0,48.5
0,wdo_5,2,1.5,1,4,579,0.4265975820379965,154.0,-135.5
0,wdo_5,2,2.0,1,4,579,0.3540587219343696,144.0,-145.5
0,wdo_5,2,2.5,1,4,579,0.27806563039723664,-61.99999999999977,-351.4999999999998
0,wdo_5,2,3.0,1,4,579,0.2469775474956822,-28.0,-317.5
0,wdo_5,2,1.5,1,6,579,0.3799654576856649,-174.0,-463.5
0,wdo_5,2,2.0,1,6,579,0.32124352331606215,-126.0,-415.5
0,wdo_5,2,2.5,1,6,579,0.2815198618307427,-51.0,-340.5
0,wdo_5,2,3.0,1,6,579,0.231433506044905,-258.0,-547.5
0,wdo_5,2,1.5,1,8,579,0.3765112262521589,-272.0,-561.5
0,wdo_5,2,2.0,1,8,579,0.30569948186528495,-384.0,-673.5
0,wdo_5,2,2.5,1,8,579,0.2556131260794473,-488.0,-777.5
0,wdo_5,2,3.0,1,8,579,0.21761658031088082,-600.0,-889.5
0,wdo_15,2,1.5,1,2,189,0.798941798941799,377.0,282.5
0,wdo_15,2,2.0,1,2,189,0.708994708994709,426.0,331.5
0,wdo_15,2,2.5,1,2,189,0.6137566137566137,434.0,339.5
0,wdo_15,2,3.0,1,2,189,0.5873015873015873,510.0,415.5
0,wdo_15,2,1.5,1,4,189,0.6084656084656085,394.0,299.5
0,wdo_15,2,2.0,1,4,189,0.5026455026455027,384.0,289.5
0,wdo_15,2,2.5,1,4,189,0.4074074074074074,322.0,227.5
0,wdo_15,2,3.0,1,4,189,0.3386243386243386,268.0,173.5
0,wdo_15,2,1.5,1,6,189,0.49206349206349204,261.0,166.5
0,wdo_15,2,2.0,1,6,189,0.4021164021164021,234.0,139.5
0,wdo_15,2,2.5,1,6,189,0.3544973544973545,273.0,178.5
0,wdo_15,2,3.0,1,6,189,0.30687830687830686,258.0,163.5
0,wdo_15,2,1.5,1,8,189,0.43386243386243384,128.0,33.5
0,wdo_15,2,2.0,1,8,189,0.3862433862433862,240.0,145.5
0,wdo_15,2,2.5,1,8,189,0.30158730158730157,84.0,-10.5
0,wdo_15,2,3.0,1,8,189,0.24867724867724866,-8.0,-102.5
